date,fuel,district,n,median,mean,min,max
2026-09-13,unleaded95,Nicosia,120,1.645,1.6313,1.589,1.689
2026-09-13,unleaded95,Limassol,75,1.649,1.6457,1.598,1.718
2026-09-13,unleaded95,Larnaca,57,1.647,1.6400,1.585,1.679
2026-09-13,unleaded95,Paphos,38,1.668,1.6663,1.646,1.709
2026-09-13,unleaded95,Famagusta,27,1.648,1.6474,1.642,1.649
2026-09-13,unleaded95,Cyprus,317,1.648,1.6418,1.585,1.718
2026-09-13,unleaded98,Nicosia,119,1.699,1.7058,1.629,1.795
2026-09-13,unleaded98,Limassol,75,1.699,1.7131,1.674,1.868
2026-09-13,unleaded98,Larnaca,56,1.698,1.7066,1.669,1.808
2026-09-13,unleaded98,Paphos,36,1.718,1.7240,1.684,1.909
2026-09-13,unleaded98,Famagusta,27,1.697,1.7060,1.685,1.798
2026-09-13,unleaded98,Cyprus,313,1.699,1.7098,1.629,1.909
2026-09-13,diesel,Nicosia,120,1.905,1.8973,1.848,1.959
2026-09-13,diesel,Limassol,75,1.909,1.9097,1.858,1.989
2026-09-13,diesel,Larnaca,57,1.909,1.9031,1.825,1.949
2026-09-13,diesel,Paphos,38,1.928,1.9281,1.905,1.969
2026-09-13,diesel,Famagusta,27,1.909,1.9101,1.894,1.919
2026-09-13,diesel,Cyprus,317,1.909,1.9061,1.825,1.989
2026-09-13,heating_oil,Nicosia,117,1.528,1.5325,1.400,1.599
2026-09-13,heating_oil,Limassol,67,1.529,1.5361,1.395,1.655
2026-09-13,heating_oil,Larnaca,56,1.533,1.5422,1.390,1.639
2026-09-13,heating_oil,Paphos,36,1.549,1.5538,1.526,1.598
2026-09-13,heating_oil,Famagusta,26,1.539,1.5411,1.495,1.584
2026-09-13,heating_oil,Cyprus,302,1.529,1.5384,1.390,1.655
2026-09-13,kerosene,Nicosia,109,1.435,1.4413,1.349,1.550
2026-09-13,kerosene,Limassol,60,1.439,1.4559,1.363,1.643
2026-09-13,kerosene,Larnaca,51,1.439,1.4479,1.222,1.574
2026-09-13,kerosene,Paphos,32,1.457,1.4587,1.299,1.510
2026-09-13,kerosene,Famagusta,25,1.439,1.4535,1.395,1.549
2026-09-13,kerosene,Cyprus,277,1.439,1.4488,1.222,1.643
2026-09-14,unleaded95,Nicosia,120,1.645,1.6323,1.589,1.699
2026-09-14,unleaded95,Limassol,75,1.649,1.6477,1.598,1.718
2026-09-14,unleaded95,Larnaca,57,1.648,1.6411,1.585,1.679
2026-09-14,unleaded95,Paphos,38,1.668,1.6688,1.646,1.709
